disease name,lncRNA name,score,Rank
demyelinating disease,PWAR4,0.386,14
demyelinating disease,NRON,0.384,15
demyelinating disease,CDKN2A-AS1,0.38,16
demyelinating disease,LINC00474,0.368,17
demyelinating disease,DAOA-AS1,0.35,18
demyelinating disease,DANCR,0.348,19
demyelinating disease,BCYRN1,0.344,20
demyelinating disease,MIAT,0.316,21
demyelinating disease,PCA3,0.314,22
demyelinating disease,DLEU2,0.314,23
demyelinating disease,TP53COR1,0.31,24
demyelinating disease,ESRG,0.31,25
demyelinating disease,MCHR2-AS1,0.286,26
demyelinating disease,HAR1A,0.276,27
demyelinating disease,DISC2,0.276,28
demyelinating disease,MIR100HG,0.256,29
demyelinating disease,SNHG11,0.254,30
rhabdomyosarcoma,XIST,0.408,1
rhabdomyosarcoma,DANCR,0.406,2
rhabdomyosarcoma,EWSAT1,0.402,3
rhabdomyosarcoma,PCA3,0.386,4
rhabdomyosarcoma,GSTT1-AS1,0.378,5
rhabdomyosarcoma,MIF-AS1,0.336,6
rhabdomyosarcoma,THRIL,0.334,7
rhabdomyosarcoma,MIR17HG,0.33,8
rhabdomyosarcoma,CDKN2B-AS1,0.31,9
rhabdomyosarcoma,CCDC26,0.304,10
rhabdomyosarcoma,PVT1,0.302,11
rhabdomyosarcoma,LINC00163,0.298,12
rhabdomyosarcoma,MEG3,0.294,13
rhabdomyosarcoma,LINCMD1,0.29,14
rhabdomyosarcoma,KCNQ1OT1,0.29,15
rhabdomyosarcoma,H19,0.29,16
rhabdomyosarcoma,HCP5,0.286,17
rhabdomyosarcoma,ATXN8OS,0.28,18
rhabdomyosarcoma,LINC00299,0.278,19
rhabdomyosarcoma,IL12A-AS1,0.272,20
rhabdomyosarcoma,HCG4,0.266,21
rhabdomyosarcoma,HULC,0.262,22
rhabdomyosarcoma,ESRG,0.262,23
rhabdomyosarcoma,GNAS-AS1,0.262,24
rhabdomyosarcoma,DLEU2,0.262,25
rhabdomyosarcoma,NRON,0.25,26
rhabdomyosarcoma,MALAT1,0.25,27
rhabdomyosarcoma,HOTAIR,0.248,28
rhabdomyosarcoma,TP53COR1,0.246,29
rhabdomyosarcoma,DISC2,0.244,30
germinoma,CDKN2B-AS1,0.424,1
germinoma,PCA3,0.412,2
germinoma,H19,0.4,3
germinoma,DISC2,0.394,4
germinoma,TP53COR1,0.388,5
germinoma,XIST,0.388,6
germinoma,KCNQ1OT1,0.386,7
germinoma,GSTT1-AS1,0.38,8
germinoma,MIR17HG,0.378,9
germinoma,MIAT,0.376,10
germinoma,LINC01556,0.374,11
germinoma,THRIL,0.344,12
germinoma,MIF-AS1,0.34,13
germinoma,HCP5,0.338,14
germinoma,DANCR,0.328,15
germinoma,MEG3,0.326,16
germinoma,PVT1,0.308,17
germinoma,AFAP1-AS1,0.306,18
germinoma,NRON,0.304,19
germinoma,RMST,0.304,20
germinoma,IL12A-AS1,0.292,21
germinoma,ATXN8OS,0.292,22
germinoma,MALAT1,0.288,23
germinoma,LINCMD1,0.286,24
germinoma,LINC00163,0.282,25
germinoma,BANCR,0.28,26
germinoma,GNAS-AS1,0.278,27
germinoma,DLEU2,0.276,28
germinoma,CCDC26,0.274,29
germinoma,HULC,0.27,30
teratoma,RMST,0.486,1
teratoma,PICSAR,0.45,2
teratoma,GSTT1-AS1,0.426,3
teratoma,THRIL,0.414,4
teratoma,MIF-AS1,0.398,5
teratoma,EWSAT1,0.38,6
teratoma,XIST,0.368,7
teratoma,CDKN2B-AS1,0.366,8
teratoma,DANCR,0.364,9
teratoma,PCA3,0.362,10
teratoma,CCDC26,0.35,11
teratoma,H19,0.35,12
teratoma,HYMAI,0.348,13
teratoma,DISC2,0.312,14
teratoma,ESRG,0.306,15
teratoma,GNAS-AS1,0.304,16
teratoma,MEG3,0.304,17
teratoma,MALAT1,0.3,18
teratoma,TP53TG1,0.296,19
teratoma,LINC00163,0.294,20
teratoma,MIR17HG,0.292,21
teratoma,PVT1,0.288,22
teratoma,IL12A-AS1,0.28,23
teratoma,LINCMD1,0.278,24
teratoma,HOTAIR,0.276,25
teratoma,KCNQ1OT1,0.27,26
teratoma,MIAT,0.268,27
teratoma,NRON,0.268,28
teratoma,TP53COR1,0.264,29
teratoma,ATXN8OS,0.26,30
embryonal carcinoma,CDKN2B-AS1,0.76,1
embryonal carcinoma,H19,0.722,2
embryonal carcinoma,MALAT1,0.704,3
embryonal carcinoma,KCNQ1OT1,0.696,4
embryonal carcinoma,PVT1,0.686,5
embryonal carcinoma,MIR17HG,0.668,6
embryonal carcinoma,MEG3,0.666,7
embryonal carcinoma,MIAT,0.63,8
embryonal carcinoma,HOTAIR,0.618,9
embryonal carcinoma,HCP5,0.606,10
embryonal carcinoma,LINC01556,0.606,11
embryonal carcinoma,DISC2,0.586,12
embryonal carcinoma,TP53COR1,0.574,13
embryonal carcinoma,GAS5,0.54,14
embryonal carcinoma,NEAT1,0.53,15
embryonal carcinoma,PCA3,0.526,16
embryonal carcinoma,MIR155HG,0.518,17
embryonal carcinoma,XIST,0.482,18
embryonal carcinoma,BANCR,0.46,19
embryonal carcinoma,LINCMD1,0.448,20
embryonal carcinoma,ATXN8OS,0.448,21
embryonal carcinoma,THRIL,0.422,22
embryonal carcinoma,RMST,0.418,23
embryonal carcinoma,NRON,0.408,24
embryonal carcinoma,GSTT1-AS1,0.404,25
embryonal carcinoma,HULC,0.388,26
embryonal carcinoma,AFAP1-AS1,0.388,27
embryonal carcinoma,EWSAT1,0.382,28
embryonal carcinoma,MIF-AS1,0.366,29
embryonal carcinoma,LINC00675,0.36,30
central nervous system disease,H19,0.962,1
central nervous system disease,PVT1,0.954,2
central nervous system disease,MALAT1,0.942,3
central nervous system disease,GAS5,0.904,4
central nervous system disease,KCNQ1OT1,0.896,5
central nervous system disease,MIAT,0.874,6
central nervous system disease,HOTAIR,0.868,7
central nervous system disease,UCA1,0.858,8
central nervous system disease,PISRT1,0.82,9
central nervous system disease,MIR100HG,0.816,10
central nervous system disease,NEAT1,0.806,11
central nervous system disease,MIR155HG,0.792,12
central nervous system disease,TP53COR1,0.784,13
central nervous system disease,SPRY4-IT1,0.772,14
central nervous system disease,LINC00271,0.762,15
central nervous system disease,CCAT2,0.754,16
central nervous system disease,IGF2-AS,0.748,17
central nervous system disease,NALT1,0.734,18
central nervous system disease,DAOA-AS1,0.728,19
central nervous system disease,ESRG,0.726,20
central nervous system disease,WT1-AS,0.726,21
central nervous system disease,HCP5,0.724,22
central nervous system disease,BANCR,0.702,23
central nervous system disease,LINCMD1,0.702,24
central nervous system disease,MCHR2-AS1,0.7,25
central nervous system disease,HNF1A-AS1,0.7,26
central nervous system disease,ERICH1-AS1,0.698,27
central nervous system disease,LINC01628,0.698,28
central nervous system disease,MIR17HG,0.69,29
central nervous system disease,CCAT1,0.67,30
bipolar disorder,MCHR2-AS1,0.696,1
bipolar disorder,MIAT,0.676,2
bipolar disorder,PWAR4,0.614,3
bipolar disorder,ATXN8OS,0.602,4
bipolar disorder,TP53TG1,0.568,5
bipolar disorder,ESRG,0.556,6
bipolar disorder,HAR1A,0.534,7
bipolar disorder,CDKN2B-AS1,0.526,8
bipolar disorder,CDKN2A-AS1,0.526,9
bipolar disorder,KCNQ1OT1,0.524,10
bipolar disorder,LINC00271,0.52,11
bipolar disorder,PISRT1,0.512,12
bipolar disorder,LINCMD1,0.502,13
bipolar disorder,PVT1,0.49,14
bipolar disorder,HCP5,0.478,15
bipolar disorder,LINC00299,0.474,16
bipolar disorder,PCA3,0.472,17
bipolar disorder,NRON,0.462,18
bipolar disorder,H19,0.46,19
bipolar disorder,TP53COR1,0.456,20
bipolar disorder,MEG3,0.456,21
bipolar disorder,XIST,0.45,22
bipolar disorder,MIR17HG,0.448,23
bipolar disorder,BCYRN1,0.442,24
bipolar disorder,MALAT1,0.44,25
bipolar disorder,AFAP1-AS1,0.43,26
bipolar disorder,GAS5,0.412,27
bipolar disorder,NEAT1,0.412,28
bipolar disorder,MIR155HG,0.412,29
bipolar disorder,THRIL,0.406,30
mood disorder,MIAT,0.806,1
mood disorder,LINC00271,0.798,2
mood disorder,HAR1A,0.762,3
mood disorder,CDKN2A-AS1,0.714,4
mood disorder,PISRT1,0.698,5
mood disorder,ATXN8OS,0.676,6
mood disorder,ESRG,0.624,7
mood disorder,BCYRN1,0.59,8
mood disorder,CDKN2B-AS1,0.59,9
mood disorder,LINCMD1,0.584,10
mood disorder,TP53TG1,0.578,11
mood disorder,NALT1,0.57,12
mood disorder,XIST,0.566,13
mood disorder,KCNQ1OT1,0.562,14
mood disorder,HCP5,0.558,15
mood disorder,TP53COR1,0.552,16
mood disorder,MIR155HG,0.53,17
mood disorder,PVT1,0.528,18
mood disorder,DSCR10,0.524,19
mood disorder,MIR137HG,0.524,20
mood disorder,TUG1,0.518,21
mood disorder,PCA3,0.51,22
mood disorder,LINC01080,0.506,23
mood disorder,MEG3,0.506,24
mood disorder,MIR100HG,0.502,25
mood disorder,H19,0.498,26
mood disorder,IGF2-AS,0.496,27
mood disorder,NRON,0.492,28
mood disorder,ERICH1-AS1,0.488,29
mood disorder,LINC01628,0.488,30
bone inflammation disease,MALAT1,0.98,1
bone inflammation disease,MIR17HG,0.938,2
bone inflammation disease,CDKN2B-AS1,0.938,3
bone inflammation disease,PVT1,0.906,4
bone inflammation disease,KCNQ1OT1,0.832,5
bone inflammation disease,HCP5,0.778,6
bone inflammation disease,MEG3,0.776,7
bone inflammation disease,NEAT1,0.728,8
bone inflammation disease,TP53COR1,0.596,9
bone inflammation disease,ESRG,0.57,10
bone inflammation disease,XIST,0.556,11
bone inflammation disease,TUG1,0.532,12
bone inflammation disease,MIAT,0.496,13
bone inflammation disease,HULC,0.474,14
bone inflammation disease,AFAP1-AS1,0.468,15
bone inflammation disease,BANCR,0.462,16
bone inflammation disease,DANCR,0.428,17
bone inflammation disease,PCA3,0.422,18
bone inflammation disease,LINCMD1,0.42,19
bone inflammation disease,ATXN8OS,0.388,20
bone inflammation disease,LINC00675,0.372,21
bone inflammation disease,BCYRN1,0.35,22
bone inflammation disease,DISC2,0.334,23
bone inflammation disease,IGF2-AS,0.294,24
bone inflammation disease,CDKN2A-AS1,0.292,25
bone inflammation disease,WT1-AS,0.286,26
bone inflammation disease,HOTTIP,0.258,27
bone inflammation disease,MIR100HG,0.248,28
bone inflammation disease,DLEU2,0.234,29
bone inflammation disease,NRON,0.228,30
osteosarcoma,H19,0.964,1
osteosarcoma,CDKN2B-AS1,0.962,2
osteosarcoma,PVT1,0.956,3
osteosarcoma,GAS5,0.946,4
osteosarcoma,NEAT1,0.884,5
osteosarcoma,XIST,0.81,6
osteosarcoma,KCNQ1OT1,0.808,7
osteosarcoma,CCAT2,0.704,8
osteosarcoma,SPRY4-IT1,0.676,9
osteosarcoma,WT1-AS,0.65,10
osteosarcoma,CCAT1,0.642,11
osteosarcoma,EWSAT1,0.636,12
osteosarcoma,LINC00675,0.628,13
osteosarcoma,AFAP1-AS1,0.608,14
osteosarcoma,IGF2-AS,0.608,15
osteosarcoma,BCYRN1,0.554,16
osteosarcoma,TP53COR1,0.544,17
osteosarcoma,PCA3,0.528,18
osteosarcoma,ESRG,0.49,19
osteosarcoma,LINC00663,0.488,20
osteosarcoma,HNF1A-AS1,0.474,21
osteosarcoma,PTCSC3,0.464,22
osteosarcoma,PTCSC2,0.464,23
osteosarcoma,HCP5,0.454,24
osteosarcoma,DISC2,0.42,25
osteosarcoma,HOTAIRM1,0.42,26
osteosarcoma,MIAT,0.41,27
osteosarcoma,DANCR,0.396,28
osteosarcoma,LSINCT5,0.392,29
osteosarcoma,PCAT1,0.392,30
fibrosarcoma,H19,0.736,1
fibrosarcoma,HOTAIR,0.716,2
fibrosarcoma,MEG3,0.68,3
fibrosarcoma,CDKN2B-AS1,0.654,4
fibrosarcoma,MIR17HG,0.548,5
fibrosarcoma,PVT1,0.51,6
fibrosarcoma,KCNQ1OT1,0.432,7
fibrosarcoma,XIST,0.322,8
fibrosarcoma,PCA3,0.306,9
fibrosarcoma,NEAT1,0.298,10
fibrosarcoma,AFAP1-AS1,0.26,11
fibrosarcoma,HCP5,0.258,12
fibrosarcoma,HULC,0.254,13
fibrosarcoma,GAS5,0.234,14
fibrosarcoma,DANCR,0.222,15
fibrosarcoma,ESRG,0.214,16
fibrosarcoma,EWSAT1,0.188,17
fibrosarcoma,BANCR,0.184,18
fibrosarcoma,RMST,0.178,19
fibrosarcoma,MIAT,0.172,20
fibrosarcoma,CCDC26,0.17,21
fibrosarcoma,BCYRN1,0.17,22
fibrosarcoma,HOTTIP,0.168,23
fibrosarcoma,IGF2-AS,0.16,24
fibrosarcoma,LINC00675,0.16,25
fibrosarcoma,GSTT1-AS1,0.158,26
fibrosarcoma,LINC01556,0.156,27
fibrosarcoma,DLEU2,0.156,28
fibrosarcoma,TP53COR1,0.152,29
fibrosarcoma,DISC2,0.152,30
Ewing sarcoma,RMST,0.506,1
Ewing sarcoma,MIR17HG,0.462,2
Ewing sarcoma,CDKN2B-AS1,0.442,3
Ewing sarcoma,MALAT1,0.44,4
Ewing sarcoma,H19,0.436,5
Ewing sarcoma,MEG3,0.422,6
Ewing sarcoma,HOTAIR,0.404,7
Ewing sarcoma,DANCR,0.396,8
Ewing sarcoma,PVT1,0.39,9
Ewing sarcoma,PCA3,0.384,10
Ewing sarcoma,LINC01556,0.384,11
Ewing sarcoma,XIST,0.382,12
Ewing sarcoma,KCNQ1OT1,0.374,13
Ewing sarcoma,GSTT1-AS1,0.338,14
Ewing sarcoma,CCDC26,0.326,15
Ewing sarcoma,HULC,0.312,16
Ewing sarcoma,ESRG,0.312,17
Ewing sarcoma,THRIL,0.308,18
Ewing sarcoma,HCP5,0.298,19
Ewing sarcoma,DLEU2,0.296,20
Ewing sarcoma,LINCMD1,0.29,21
Ewing sarcoma,MIF-AS1,0.282,22
Ewing sarcoma,TP53COR1,0.274,23
Ewing sarcoma,HCG4,0.27,24
Ewing sarcoma,AFAP1-AS1,0.266,25
Ewing sarcoma,PICSAR,0.262,26
Ewing sarcoma,GAS5,0.26,27
Ewing sarcoma,MIAT,0.252,28
Ewing sarcoma,LINC00163,0.246,29
Ewing sarcoma,NRON,0.242,30
periodontal disease,H19,0.812,1
periodontal disease,MIR17HG,0.404,2
periodontal disease,MALAT1,0.386,3
periodontal disease,HOTAIR,0.354,4
periodontal disease,MEG3,0.31,5
periodontal disease,KCNQ1OT1,0.224,6
periodontal disease,XIST,0.222,7
periodontal disease,GAS5,0.22,8
periodontal disease,PCA3,0.188,9
periodontal disease,CCDC26,0.166,10
periodontal disease,PVT1,0.164,11
periodontal disease,DANCR,0.144,12
periodontal disease,DLEU2,0.144,13
periodontal disease,LINC00163,0.124,14
periodontal disease,MIR100HG,0.106,15
periodontal disease,RMST,0.1,16
periodontal disease,HYMAI,0.098,17
periodontal disease,HULC,0.094,18
periodontal disease,TP53COR1,0.092,19
periodontal disease,AFAP1-AS1,0.09,20
periodontal disease,BCYRN1,0.09,21
periodontal disease,GSTT1-AS1,0.088,22
periodontal disease,DISC2,0.086,23
periodontal disease,MIAT,0.082,24
periodontal disease,BANCR,0.08,25
periodontal disease,ESRG,0.074,26
periodontal disease,WT1-AS,0.07,27
periodontal disease,MIR155HG,0.068,28
periodontal disease,PCGEM1,0.068,29
periodontal disease,CDKN2A-AS1,0.068,30
coronary artery disease,MALAT1,0.95,1
coronary artery disease,HOTAIR,0.888,2
coronary artery disease,PVT1,0.882,3
coronary artery disease,MEG3,0.874,4
coronary artery disease,GAS5,0.872,5
coronary artery disease,MIR155HG,0.81,6
coronary artery disease,ESRG,0.788,7
coronary artery disease,TP53COR1,0.78,8
coronary artery disease,XIST,0.764,9
coronary artery disease,ATXN8OS,0.74,10
coronary artery disease,HCP5,0.732,11
coronary artery disease,NEAT1,0.692,12
coronary artery disease,TUG1,0.668,13
coronary artery disease,LINCMD1,0.642,14
coronary artery disease,HAR1A,0.6,15
coronary artery disease,PISRT1,0.592,16
coronary artery disease,BCYRN1,0.578,17
coronary artery disease,BANCR,0.558,18
coronary artery disease,DISC2,0.558,19
coronary artery disease,AFAP1-AS1,0.534,20
coronary artery disease,MIR100HG,0.53,21
coronary artery disease,PCA3,0.512,22
coronary artery disease,DAOA-AS1,0.506,23
coronary artery disease,NRON,0.504,24
coronary artery disease,IGF2-AS,0.5,25
coronary artery disease,MCHR2-AS1,0.492,26
coronary artery disease,HULC,0.484,27
coronary artery disease,LINC00271,0.48,28
coronary artery disease,LINC00675,0.472,29
coronary artery disease,HOTTIP,0.454,30
skin carcinoma,H19,0.814,1
skin carcinoma,MIR17HG,0.408,2
skin carcinoma,MALAT1,0.398,3
skin carcinoma,HOTAIR,0.376,4
skin carcinoma,MEG3,0.328,5
skin carcinoma,KCNQ1OT1,0.236,6
skin carcinoma,GAS5,0.228,7
skin carcinoma,XIST,0.22,8
skin carcinoma,PCA3,0.186,9
skin carcinoma,CCDC26,0.166,10
skin carcinoma,PVT1,0.152,11
skin carcinoma,DLEU2,0.148,12
skin carcinoma,DANCR,0.14,13
skin carcinoma,LINC00163,0.126,14
skin carcinoma,MIR100HG,0.106,15
skin carcinoma,HYMAI,0.102,16
skin carcinoma,RMST,0.098,17
skin carcinoma,HULC,0.094,18
skin carcinoma,TP53COR1,0.09,19
skin carcinoma,AFAP1-AS1,0.088,20
skin carcinoma,GSTT1-AS1,0.088,21
skin carcinoma,DISC2,0.084,22
skin carcinoma,BANCR,0.082,23
skin carcinoma,ESRG,0.08,24
skin carcinoma,BCYRN1,0.078,25
skin carcinoma,MIAT,0.074,26
skin carcinoma,HCP5,0.07,27
skin carcinoma,WT1-AS,0.07,28
skin carcinoma,PCGEM1,0.066,29
skin carcinoma,MIR155HG,0.064,30
breast carcinoma,MALAT1,0.868,1
breast carcinoma,CDKN2B-AS1,0.818,2
breast carcinoma,HOTAIR,0.8,3
breast carcinoma,KCNQ1OT1,0.786,4
breast carcinoma,MEG3,0.712,5
breast carcinoma,GAS5,0.698,6
breast carcinoma,MIR17HG,0.696,7
breast carcinoma,NEAT1,0.696,8
breast carcinoma,ESRG,0.626,9
breast carcinoma,HULC,0.622,10
breast carcinoma,BANCR,0.6,11
breast carcinoma,HCP5,0.596,12
breast carcinoma,PVT1,0.552,13
breast carcinoma,XIST,0.544,14
breast carcinoma,MIR155HG,0.542,15
breast carcinoma,MIAT,0.502,16
breast carcinoma,TP53COR1,0.488,17
breast carcinoma,PCA3,0.482,18
breast carcinoma,TUG1,0.46,19
breast carcinoma,UCA1,0.46,20
breast carcinoma,IGF2-AS,0.452,21
breast carcinoma,BCYRN1,0.416,22
breast carcinoma,DANCR,0.408,23
breast carcinoma,LINCMD1,0.398,24
breast carcinoma,SPRY4-IT1,0.362,25
breast carcinoma,CDKN2A-AS1,0.356,26
breast carcinoma,ATXN8OS,0.352,27
breast carcinoma,DISC2,0.35,28
breast carcinoma,HNF1A-AS1,0.334,29
breast carcinoma,MCHR2-AS1,0.32,30
pancreatic ductal adenocarcinoma,CDKN2B-AS1,0.958,1
pancreatic ductal adenocarcinoma,HOTAIR,0.948,2
pancreatic ductal adenocarcinoma,MEG3,0.924,3
pancreatic ductal adenocarcinoma,GAS5,0.892,4
pancreatic ductal adenocarcinoma,KCNQ1OT1,0.884,5
pancreatic ductal adenocarcinoma,MIR17HG,0.852,6
pancreatic ductal adenocarcinoma,NEAT1,0.844,7
pancreatic ductal adenocarcinoma,XIST,0.746,8
pancreatic ductal adenocarcinoma,HULC,0.718,9
pancreatic ductal adenocarcinoma,BANCR,0.716,10
pancreatic ductal adenocarcinoma,UCA1,0.708,11
pancreatic ductal adenocarcinoma,TUG1,0.68,12
pancreatic ductal adenocarcinoma,HCP5,0.636,13
pancreatic ductal adenocarcinoma,MIR155HG,0.63,14
pancreatic ductal adenocarcinoma,CCAT2,0.562,15
pancreatic ductal adenocarcinoma,ESRG,0.55,16
pancreatic ductal adenocarcinoma,SPRY4-IT1,0.542,17
pancreatic ductal adenocarcinoma,BCYRN1,0.536,18
pancreatic ductal adenocarcinoma,IGF2-AS,0.526,19
pancreatic ductal adenocarcinoma,HNF1A-AS1,0.502,20
pancreatic ductal adenocarcinoma,TP53COR1,0.488,21
pancreatic ductal adenocarcinoma,CCAT1,0.472,22
pancreatic ductal adenocarcinoma,PCA3,0.462,23
pancreatic ductal adenocarcinoma,WT1-AS,0.442,24
pancreatic ductal adenocarcinoma,MIAT,0.432,25
pancreatic ductal adenocarcinoma,DANCR,0.35,26
pancreatic ductal adenocarcinoma,TUSC7,0.342,27
pancreatic ductal adenocarcinoma,SOX2-OT,0.334,28
pancreatic ductal adenocarcinoma,LINCMD1,0.322,29
pancreatic ductal adenocarcinoma,CDKN2A-AS1,0.318,30
cerebral arterial disease,H19,0.864,1
cerebral arterial disease,MIR17HG,0.63,2
cerebral arterial disease,MALAT1,0.602,3
cerebral arterial disease,KCNQ1OT1,0.54,4
cerebral arterial disease,MEG3,0.532,5
cerebral arterial disease,HOTAIR,0.494,6
cerebral arterial disease,TP53COR1,0.454,7
cerebral arterial disease,MIAT,0.446,8
cerebral arterial disease,PVT1,0.44,9
cerebral arterial disease,HCP5,0.39,10
cerebral arterial disease,XIST,0.374,11
cerebral arterial disease,PCA3,0.368,12
cerebral arterial disease,MIR155HG,0.358,13
cerebral arterial disease,DISC2,0.324,14
cerebral arterial disease,GAS5,0.294,15
cerebral arterial disease,ATXN8OS,0.29,16
cerebral arterial disease,BCYRN1,0.278,17
cerebral arterial disease,CDKN2A-AS1,0.262,18
cerebral arterial disease,BANCR,0.252,19
cerebral arterial disease,NEAT1,0.24,20
cerebral arterial disease,DLEU2,0.228,21
cerebral arterial disease,MIR100HG,0.204,22
cerebral arterial disease,LINC01556,0.196,23
cerebral arterial disease,DANCR,0.19,24
cerebral arterial disease,RMST,0.19,25
cerebral arterial disease,HULC,0.18,26
cerebral arterial disease,CCDC26,0.174,27
cerebral arterial disease,MCHR2-AS1,0.166,28
cerebral arterial disease,HYMAI,0.156,29
cerebral arterial disease,PICSAR,0.156,30
meningioma,MALAT1,0.866,1
meningioma,CDKN2B-AS1,0.834,2
meningioma,HOTAIR,0.76,3
meningioma,KCNQ1OT1,0.692,4
meningioma,PVT1,0.606,5
meningioma,MIR17HG,0.588,6
meningioma,NEAT1,0.412,7
meningioma,XIST,0.374,8
meningioma,GAS5,0.362,9
meningioma,MIAT,0.314,10
meningioma,ESRG,0.308,11
meningioma,LINC01556,0.282,12
meningioma,HCP5,0.268,13
meningioma,MIR155HG,0.26,14
meningioma,GNAS-AS1,0.258,15
meningioma,BCYRN1,0.244,16
meningioma,PCA3,0.242,17
meningioma,TP53COR1,0.236,18
meningioma,AFAP1-AS1,0.23,19
meningioma,IGF2-AS,0.208,20
meningioma,BANCR,0.194,21
meningioma,ATXN8OS,0.188,22
meningioma,DANCR,0.184,23
meningioma,TUG1,0.178,24
meningioma,HULC,0.176,25
meningioma,DISC2,0.176,26
meningioma,GSTT1-AS1,0.162,27
meningioma,RMST,0.156,28
meningioma,EWSAT1,0.154,29
meningioma,LINCMD1,0.15,30
liver cancer,BANCR,0.938,1
liver cancer,TUSC7,0.914,2
liver cancer,LINC00675,0.914,3
liver cancer,GACAT2,0.908,4
liver cancer,GHET1,0.89,5
liver cancer,TINCR,0.876,6
liver cancer,SNHG12,0.844,7
liver cancer,KIRREL3-AS3,0.84,8
liver cancer,DISC2,0.838,9
liver cancer,CBR3-AS1,0.838,10
liver cancer,PCA3,0.834,11
liver cancer,TP53COR1,0.828,12
liver cancer,LINC01133,0.818,13
liver cancer,PRNCR1,0.81,14
liver cancer,HYMAI,0.798,15
liver cancer,ESRG,0.796,16
liver cancer,LINC00663,0.788,17
liver cancer,LSINCT5,0.786,18
liver cancer,PTCSC3,0.782,19
liver cancer,CASC16,0.782,20
liver cancer,LINC00583,0.782,21
liver cancer,PTCSC2,0.782,22
liver cancer,LINC-PINT,0.772,23
liver cancer,EWSAT1,0.766,24
liver cancer,LINC00312,0.766,25
liver cancer,BCYRN1,0.762,26
liver cancer,HOTAIRM1,0.756,27
liver cancer,CRNDE,0.748,28
liver cancer,MIR124-2HG,0.746,29
liver cancer,PICSAR,0.738,30
gestational trophoblastic neoplasm,CDKN2B-AS1,0.72,1
gestational trophoblastic neoplasm,HOTAIR,0.41,2
